abruptly,"adv.突然地"
distinction,"n.差别,不同,区分"
distinguish,"v.区别,辨别,认别"
distress,"n.忧虑,悲伤;不幸"
distribute,"v.分发,分送;分布"
distribution,"n.分发,分配;分布"
district,"n.区;地区,区域"
disturb,"v.打扰,扰乱;弄乱"
ditch,"n.沟,沟渠,渠道"
dive,"v.跳水;潜水;俯冲"
diverse,"adj.不一样的,相异的"
divide,"v.分;分配;分开"
division,"n.分,分配;除法"
divorce,"n.离婚,离异;vi.离婚"
do,"aux.v;v.做,干,办"
dock,"n.船坞;码头;船厂"
doctor,"n.医生,医师;博士"
document,"n.公文,文件;证件"
dog,"n.狗,犬,犬科动物"
dollar,"n.元(货币单位)"
domestic,"adj.本国的;家庭的"
donkey,"n.驴;笨蛋"
door,"n.门,通道;一家"
dorm,"n.宿舍"
dormitory,"n.集体寝室;宿舍"
dose,"n.剂量,用量;一剂"
dot,"n.点,圆点;v.打点于"
double,"adj.两倍的;双的"
doubt,"n.怀疑;疑虑;v.怀疑"
doubtful,"adj.难以预测的;怀疑的"
doubtless,"adv.无疑地;很可能"
down,"adv.向下,在下面"
downstairs,"adv.在楼下;adj.楼下的"
downward,"adj.向下的;adv.向下地"
dozen,"n.一打,十二个"
draft,"n.草稿;汇票;v.起草"
drag,"v.拖,拉;拖曳"
dragon,"n.龙;凶暴的人"
drain,"v.排去;放水;n.耗竭"
drama,"n.一出戏剧,剧本"
dramatic,"adj.引人注目的,戏剧的"
draw,"v.画,划;拖;拨出"
drawer,"n.抽屉"
drawing,"n.图画,素描;绘图"
dread,"n.畏惧;恐怖;v.惧怕"
dream,"n.梦;梦想;v.做梦"
dress,"n.女服,童装;服装"
drift,"v.漂流,漂泊;n.漂流"
drill,"n.钻头;操练;v.钻孔"
drink,"v.饮;v.喝;n.饮料"
drip,"v.滴下;漏水;n.水滴"
drive,"v.驾驶;打入;驱"
driver,"n.驾驶员,司机"
drop,"v.使落下;降低"
drought,"n.旱灾,干旱"
drown,"v.淹死,溺死"
drug,"n.药,药物,药材"
drum,"n.鼓;鼓状物,圆桶"
drunk,"adj.醉的;陶醉的"
dry,"adj.干的,干燥的"
duck,"n.鸭,雌鸭;鸭肉"
due,"adj.预期的;应给的"
dull,"adj.枯燥的;不鲜明的"
dumb,"adj.哑的;无言的"
dump,"v.倾卸,倾倒;倾销"
durable,"adj.耐久的,耐用的"
duration,"n.持续,持久"
during,"prep.在…期间"
dusk,"n.薄暮,黄昏,幽暗"
dust,"n.尘土,灰尘"
duty,"n.职责;责任;税"
dwelling,"n.住处,寓所"
dye,"v.染;n.染料;染色"
dying,"adj.垂死的;临终的"
dynamic,"adj.有活力的;动力的"
each,"pron.各,各自;adj.各"
eager,"adj.渴望的,热切的"
eagle,"n.鹰"
ear,"n.耳朵;听力,听觉"
early,"adv.早;adj.早的,早期的"
earn,"v.赚得,挣得;获得"
earnest,"adj.认真的,诚恳的"
earth,"n.地球;陆地,地面"
earthquake,"n.地震;大震荡"
ease,"n.容易,舒适;v.缓和"
easily,"adv.容易地;舒适的"
east,"n.东;东部;adv.在东方"
eastern,"adj.东方的;朝东的"
easy,"adj.容易的;安逸的"
eat,"v.吃,喝;v.吃饭"
echo,"n.回声,反响;v.重复"
economic,"adj.经济的,经济学的"
economical,"adj.节约的;经济学的"
economy,"n.经济;节约,节省"
edge,"n.边缘,边;刀口"
edition,"n.版,版本,版次"
editor,"n.编辑,编者,校订者"
educate,"v.教育;培养;训练"
education,"n.教育;训导;教育学"
effect,"n.结果;效果,效力"
effective,"adj.有效的;有影响的"
efficiency,"n.效率;功效,效能"
efficient,"adj.效率高的,有能力的"
effort,"n.努力;努力的成果"
egg,"n.蛋,鸡蛋,卵"
eight,"num.八,八个,第八"
eighteen,"num.十八,十八个"
eighth,"num.第八;n.八分之一"
eighty,"num.八十,八十个"
either,"pron.(两者)任何一个"
elaborate,"adj.复杂的;精心制作的"
elastic,"n.松紧带;adj.有弹性的"
elbow,"n.肘,肘部;弯管"
elder,"adj.年龄较大的;n.长者"
elect,"v.选举,推选;选择"
election,"n.选举,选择权;当选"
electric,"adj.电的,电动的"
electrical,"adj.电的,电气科学的"
electricity,"n.电,电学;电流"
electron,"n.电子"
electronic,"adj.电子的"
electronics,"n.电子学"
element,"n.成分;要素;元素"
elementary,"adj.基本的;初级的"
elephant,"n.象"
elevator,"n.电梯;升降机"
eleven,"num.十一,十一个"
eleventh,"num.第十一(个)"
eliminate,"v.消灭,消除,排除"
elimination,"n.消灭,排除,消除"
else,"adv.其它,另外;adj.别的"
elsewhere,"adv.在别处,向别处"
embarrass,"v.使窘迫,使为难"
embrace,"v.拥抱;包括;包围"
emerge,"v.出现,涌现;冒出"
emergency,"n.紧急情况,突然事件"
emit,"v.散发;发射;发表"
emotion,"n.情感,感情;激动"
emotional,"adj.感情的,情绪的"
emperor,"n.皇帝"
emphasis,"n.强调,重点,重要性"
emphasize,"v.强调,着重"
empire,"n.帝国"
employ,"v.雇用;用;使忙于"
employee,"n.受雇者,雇员,雇工"
employer,"n.雇佣者,雇主"
employment,"n.工业;雇用;使用"
empty,"adj.空的;空洞的"
enable,"v.使能够,使可能"
enclose,"v.围住,圈起;附上"
encounter,"v.遭遇,遇到;n.遭遇"
encourage,"v.鼓励,支持,助长"
end,"n.末端;目标;v.结束"
ending,"n.结尾,结局;死亡"
endless,"adj.无止境的"
endure,"v.忍受;容忍"
enemy,"n.敌人;仇敌;敌兵"
energy,"n.活力;精力;能"
enforce,"v.实施,执行;强制"
engage,"v.使从事于;聘用"
engine,"n.发动机,引擎;机车"
engineer,"n.工程师,技师"
engineering,"n.工程,工程学"
England,"n.英格兰;英国"
English,"n.英语;adj.英国人的"
Englishman,"n.英国男子"
enjoy,"v.享受;欣赏,喜爱"
enlarge,"v.扩大,扩展;放大"
enormous,"adj.巨大的,庞大的"
enough,"adj.足够的;adv.足够地"
ensure,"v.保证;保护;赋予"
enter,"v.走进,进入;参加"
entertain,"v.使欢乐;招待"
enthusiasm,"n.热情,热心,热忱"
enthusiastic,"adj.热情的,热心的"
entire,"adj.全部的,整个的"
entitle,"v.给…权利(或资格)"
entrance,"n.入口,门口;进入"
entry,"n.入口处;登记;进入"
envelope,"n.信封;封套;封皮"
environment,"n.环境,外界;围绕"
envy,"vt&n.妒忌;羡慕"
equal,"adj.相等的;平等的"
equality,"n.等同,平等;相等"
equation,"n.方程(式);等式"
equip,"v.装备,配备"
equipment,"n.装备,设备,配备"
equivalent,"adj.相等的;等量的"
era,"n.时代,年代;纪元"
erect,"v.建造;使竖立"
error,"n.错误,谬误;差错"
escape,"v.逃跑;逸出;n.逃跑"
especially,"adv.特别,尤其,格外"
essay,"n.短文,散文,小品文"
essential,"adj.必要的,本质的"
establish,"v.建立,设立;确立"
establishment,"n.建立,设立,确立"
estimate,"v.估计,评价;n.估计"
Europe,"n.欧洲"
European,"adj.欧洲的;n.欧洲人"
evaluate,"v.评价,估…的价"
evaporate,"v.使蒸发;v.蒸发"
eve,"n.前夜,前夕,前一刻"
even,"adv.甚至;甚至更,还"
evening,"n.傍晚,黄昏,晚上"
event,"n.事件,大事;事变"
eventually,"adv.终于;最后"
ever,"adv.在任何时候;曾经"
every,"adj.每一的;每隔…的"
everybody,"pron.每人,人人"
everyday,"adj.每天的,日常的"
everyone,"pron.每人,人人"
everything,"pron.每件事,事事"
everywhere,"adv.到处,处处"
evidence,"n.根据;证据,证人"
evident,"adj.明显的,明白的"
evil,"n.邪恶;祸害;adj.坏的"
evolution,"n.进化,演化;发展"
evolve,"v.使进化;使发展"
exact,"adj.确切的;精确的"
exactly,"adv.确切地;恰恰正是"
exaggerate,"vt&vi.夸大,夸张"
exam,"n.考试;检查,细查"
examination,"n.考试;检查,细查"
examine,"v.检查,仔细观察"
example,"n.例子,实例;模范"
exceed,"v.超过,胜过;超出"
exceedingly,"adv.极端地,非常"
excellent,"adj.优秀的,杰出的"
except,"prep.除…之外"
exception,"n.例外,除外"
excess,"n.超越;过量;过度"
excessive,"adj.过多的,极度的"
exchange,"v.交换;交流;n.交换"
excite,"v.使激动;引起"
exciting,"adj.令人兴奋的"
exclaim,"v.呼喊;惊叫"
exclude,"v.把…排除在外"
exclusively,"adv.专门地"
excursion,"n.远足;短途旅行"
excuse,"v.原谅;免除;n.借口"
execute,"v.将…处死;实施"
executive,"adj.执行的;n.执行者"
exercise,"n.锻炼,训练;v.练习"
exert,"v.尽(力),运用"
exhaust,"v.使筋疲力尽;用尽"
exhibit,"v.显示;陈列,展览"
exhibition,"n.展览,陈列;展览会"
exist,"v.存在;生存,生活"
existence,"n.存在,实在;生存"
exit,"n.出口;退场;v.退出"
expand,"v.扩大;使膨胀"
expansion,"n.扩大,扩充;扩张"
expect,"v.预料,预期;等待"
expectation,"n.期待,期望,预期"
expense,"n.花费,消费;费用"
expensive,"adj.昂贵的,花钱多的"
experience,"n.经验,感受;经历"
experiment,"n.实验;试验"
experimental,"adj.实验的,试验的"
expert,"n.专家;adj.熟练的"
explain,"v.解释;为…辩解"
explanation,"n.解释,说明;辩解"
explode,"v.使爆炸;v.爆炸"
exploit,"v.剥削;利用;开拓"
explore,"vt&vi.探险,探索"
explosion,"n.爆炸,爆发,炸裂"
explosive,"n.炸药;adj.爆炸的"
export,"v.输出,出口;运走"
expose,"v.使暴露;揭露"
exposure,"n.暴露;揭露;曝光"
express,"v.表示;n.快车,快递"
expression,"n.词句;表达;表情"
extend,"v.延长;扩大;致"
extension,"n.延长部分;伸展"
extensive,"adj.广阔的;广泛的"
extent,"n.广度;范围;程度"
exterior,"adj.外部的;对外的"
external,"adj.外部的,外面的"
extra,"adj.额外的;adv.特别地"
extraordinary,"adj.非同寻常的,特别的"
extreme,"adj.极度的;尽头的"
extremely,"adv.极端,极其,非常"
eye,"n.眼睛;眼力;鉴赏力"
eyesight,"n.视力,目力"
fable,"n.寓言;虚构的故事"
fabric,"n.织物,纺织品;结构"
face,"n.脸;表面;外表"
facility,"n.设备;容易;便利"
fact,"n.事实;实际,实情"
factor,"n.因素;因子,系数"
factory,"n.工厂,制造厂"
faculty,"n.才能,能力;系,科"
fade,"v.褪色;逐渐消失"
Fahrenheit,"n.华氏温度计"
fail,"v.失败;失灵;不能"
failure,"n.失败;失败的人"
faint,"adj.微弱的;虚弱的"
fair,"adj.公平的;相当的"
fairly,"adv.相当;公平地"
faith,"n.信任,信心;信仰"
faithful,"adj.忠诚的;如实的"
fall,"v.落下;跌倒;陷落"
FALSE,"adj.不真实的;伪造的"
fame,"n.名声,名望"
familiar,"adj.熟悉的;冒昧的"
family,"n.家,家庭;家族"
famine,"n.饥荒;严重的缺乏"
famous,"adj.著名的,出名的"
fan,"n.(运动等)狂热爱好者"
fancy,"n.想象力;设想;爱好"
far,"adj.远的;adv.远,遥远"
fare,"n.车费,船费,票价"
farewell,"int.再会;n.告别"
farm,"n.农场,农庄;饲养场"
farmer,"n.农民,农夫;农场主"
farther,"adv.更远地;adj.更远的"
fashion,"n.样子,方式;风尚"
fashionable,"adj.流行的,时髦的"
fast,"adj.快的;偏快的;adv.快"
fasten,"v.扎牢,扣住"
fatal,"adj.致命的;命运的"
fate,"n.命运,天数"
father,"n.父亲;神父;创始人"
fatigue,"n.疲劳,劳累"
fault,"n.缺点;过失;故障"
faulty,"adj.有错误的,有缺点的"
favour,"n.好感;赞同;恩惠"
favourable,"adj.有利的;赞成的"
favourite,"adj.特别受喜爱的"
fear,"n.害怕;担心;v.害怕"
fearful,"adj.害怕的,可怕的"
feasible,"adj.可行的;可能的"
feast,"n.盛宴,筵席;节日"
feather,"n.羽毛;翎毛;羽状物"
feature,"n.特征,特色;面貌"
February,"n.二月"
federal,"adj.联邦的;联盟的"
fee,"n.费,酬金;赏金"
feeble,"adj.虚弱的;微弱的"
feed,"v.喂(养);v.吃饲料"
feedback,"n.回授,反馈,反应"
feel,"v.有知觉;v.触,摸"
feeling,"n.感情;感觉,知觉"
fellow,"n.人,家伙;伙伴"
female,"n.雌性的动物;女子"
fence,"n.栅栏"
fertile,"adj.肥沃的;多产的"
fertilizer,"n.肥料"
festival,"n.节日;音乐节"
fetch,"v.拿来;请来,接去"
fever,"n.发热,发烧;狂热"
few,"adj.很少的;少数的"
fibre,"n.纤维,纤维质"
fiction,"n.小说;虚构,杜撰"
field,"n.田野;田;运动场"
fierce,"adj.凶猛的,狂热的"
fifteen,"num.十五;十五个"
fifth,"num.第五;n.五分之一"
fifty,"num.五十,五十个"
fight,"v.打(仗);斗争"
figure,"n.数字;外形;人物"
file,"n.档案;v.把…归档"
fill,"v.装满,盛满;占满"
film,"n.影片;胶卷;薄层"
filter,"v.过滤;n.滤纸"
final,"adj.最后的;决定性的"
finally,"adv.最后;不可更改的"
finance,"n.财政,金融;财源"
financial,"adj.财政的,金融的"
find,"v.找到;发觉;找出"
finding,"n.发现;调查的结果"
fine,"adj.美好的;纤细的"
finger,"n.手指;指状物"
finish,"v.完成,结束;n.结束"
fire,"n.火;火灾;v.开火"
fireman,"n.消防队员;司炉工"
firm,"n.商行,商号,公司"
first,"num.第一;adv.最初"
fish,"n.鱼,鱼肉;v.钓鱼"
fisherman,"n.渔民,渔夫,打鱼人"
fist,"n.拳(头)"
fit,"v.适合;安装;v.适合"
five,"num.五,五个,第五"
fix,"v.使固定;决定"
flag,"n.旗,旗帜;旗舰旗"
flame,"n.火焰;光辉;热情"
flare,"v.闪耀;v.使闪亮"
flash,"n.闪光;v.闪,闪烁"
flat,"adj.平的,扁平的"
flavour,"n.味,味道;风味"
fleet,"n.舰队;船队,机群"
flesh,"n.肉,肌肉;肉体"
flexible,"adj.易弯曲的;灵活的"
flight,"n.航班;飞行;逃跑"
float,"v.漂浮;v.使漂浮"
flock,"n.羊群,群;大量"
flood,"n.洪水;v.淹没"
floor,"n.地板;楼层"
flour,"n.面粉,粉;粉状物质"
flourish,"v.繁荣,茂盛,兴旺"
flow,"v.流动;飘垂;涨潮"
flower,"n.花,花卉;开花"
flu,"n.流行性感冒"
fluent,"adj.流利的,流畅的"
fluid,"n.流体,液体"
flush,"v.奔流;(脸)发红"
fly,"n.蝇,苍蝇;v.飞行"
focus,"v.聚焦,注视;n.焦点"
fog,"n.雾;烟雾,尘雾"
fold,"v.折叠;合拢;n.褶"
folk,"n.人们,家属,亲属"
follow,"v.跟随;结果是"
following,"adj.接着的;下列的"
fond,"adj.喜爱的;溺爱的"
food,"n.食物,食品,养料"
fool,"n.蠢人,傻子;v.欺骗"
foolish,"adj.愚蠢的;鲁莽的"
foot,"n.脚;最下部;英尺"
football,"n.足球比赛;足球"
footstep,"n.脚步;脚步声;足迹"
for,"prep.为;给;因为"
forbid,"v.禁止,不许;阻止"
force,"v.强迫;n.力,力量"
forecast,"n.预测,预报;v.预示"
forehead,"n.额头,前部"
foreign,"adj.外国的;外来的"
foreigner,"n.外国人"
foremost,"adj.最初的;第一流的"
forest,"n.森林;森林地带"
forever,"adv.永远,总是,老是"
forget,"v.忘记,遗忘"
forgive,"v.原谅,饶恕,宽恕"
fork,"n.餐叉;叉;分叉"
form,"n.形式;形状;v.形成"
formal,"adj.正式的;礼仪上的"
formation,"n.形成;构成;形成物"
former,"adj.在前的;n.前者"
formula,"n.公式,式"
forth,"adv.向前;向外,往外"
fortnight,"n.两星期,十四天"
fortunate,"adj.幸运的,侥幸的"
fortunately,"adv.幸运地,幸亏"
fortune,"n.命运,运气;财产"
forty,"num.四十,第四十"
forward,"adv.向前;今后,往后"
found,"v.创立,创办;建立"
foundation,"n.基础;地基;基金"
fountain,"n.泉水,喷泉;源泉"
four,"num.四,四个,第四"
fourteen,"num.十四,第十四"
fourth,"num.第四,四分之一"
fox,"n.狐狸;狡猾的人"
fraction,"n.小部分;片断;分数"
fragment,"n.碎片,破片,碎块"
frame,"n.框架,框子;构架"
framework,"n.框架,构架,结构"
France,"n.法国,法兰西"
frank,"adj.坦白的,直率的"
free,"adj.自由的;空闲的"
freedom,"n.自由;自主"
freely,"adv.自由地;直率地"
freeze,"v.冻;结冻;v.使结冰"
freight,"n.货运;货物;运费"
French,"adj.法国的;n.法国人"
frequency,"n.屡次;次数;频率"
frequent,"adj.时常发生的;经常的"
frequently,"adv.时常,常常"
fresh,"adj.新的;新鲜的"
friction,"n.摩擦,摩擦力"
Friday,"n.星期五"
fridge,"n.电冰箱"
friend,"n.朋友,友人"
friendly,"adj.友好的,友谊的"
friendship,"n.友谊,友好"
frighten,"v.使惊恐,吓唬"
frog,"n.蛙"
from,"prep.从…来;离开"
front,"adj.前面的;n.前部"
frontier,"n.边境;边疆;新领域"
frost,"n.冰冻,严寒;霜"
frown,"v.皱眉,蹙额"
fruit,"n.水果;果实;成果"
fruitful,"adj.多产的;肥沃的"
fry,"v.油煎,油炸,油炒"
fuel,"n.燃料;v.给…加燃料"
fulfil,"v.履行;满足;完成"
full,"adj.满的;完全的"
fun,"n.乐趣,娱乐;玩笑"
function,"n.功能;职务;函数"
fund,"n.资金;基金;存款"
fundamental,"adj.基础的,基本的"
funeral,"n.葬礼,丧礼,丧葬"
funny,"adj.古怪的;滑稽的"
fur,"n.软毛;毛皮,裘皮"
furious,"adj.狂怒的;狂暴的"
furnace,"n.炉子,熔炉;鼓风炉"
furnish,"v.供应,提供;装备"
furniture,"n.家具;装置,设备"
further,"adv.更远地;adj.更远的"
furthermore,"adv.而且,此外"
future,"n.将来,未来;前途"
gain,"v.获得;增加;n.增进"
gallery,"n.长廊,游廊;画廊"
gallon,"n.加仑"
game,"n.游戏;比赛;猎物"
gang,"n.一帮,一伙"
gap,"n.缺口;间隔;差距"
garage,"n.车库;加油站"
garbage,"n.垃圾,污物,废料"
garden,"n.花园,菜园;公园"
gardener,"n.园丁,花匠"
gas,"n.煤气;气体;汽油"
gaseous,"adj.气体的,气态的"
gasoline,"n.(美)汽油"
gasp,"v.气喘,喘息"
gate,"n.大门;篱笆门"
gather,"v.聚集;集合vt收集"
gauge,"v.量,测量;n.量器"
gay,"adj.快乐的;鲜明的"
gaze,"v.凝视,盯,注视"
general,"adj.总的;一般的n将军"
generally,"adv.一般地;通常地"
generate,"v.发生;引起;生殖"
generation,"n.一代,一代人;产生"
generator,"n.发电机;发生者"
generous,"adj.慷慨的;宽厚的"
genius,"n.天才,天赋,天资"
gentle,"adj.和蔼的;轻柔的"
gentleman,"n.绅士;有教养的人"
gently,"adv.有礼貌地;柔和地"
genuine,"adj.真的;真正的"
geography,"n.地理,地理学"
geometry,"n.几何,几何学"
germ,"n.微生物,细菌,幼芽"
German,"adj.德国的;n.德国人"
Germany,"n.德意志,德国"
gesture,"n.姿势,手势;姿态"
get,"v.变得,成为;到达"
ghost,"n.鬼,灵魂;鬼魂"
giant,"n.巨人;巨物"
gift,"n.礼物,赠品;天赋"
girl,"n.女孩子,姑娘;女儿"
give,"v.做,作;送给"
glad,"adj.高兴的;乐意的"
glance,"v.看一下;n.一瞥"
glare,"v.瞪眼;n.瞪眼"
glass,"n.玻璃;玻璃杯"
glide,"v.滑动;消逝;n.滑行"
glimpse,"v.瞥见;n.一瞥,一看"
glitter,"v.闪闪发光;n.闪光"
globe,"n.地球,世界;地界仪"
gloomy,"adj.黑暗的;令人沮丧的"
glorious,"adj.光荣的;壮丽的"
glory,"n.光荣;荣誉的事"
glove,"n.手套"
glow,"n.白热光;v.发白热光"
glue,"n.胶,胶水;v.胶合"
go,"v.去;走;变为"
goal,"n.球门;得分;目的"
goat,"n.山羊"
God,"n.神,神像;上帝"
gold,"n.金;钱财;adj.金制的"
golden,"adj.金色的;极好的"
golf,"n.高尔夫球"
good,"adj.好的;有本事的"
goodness,"n.优良,德性,仁慈"
goods,"n.货物,商品"
goose,"n.鹅,雌鹅"
govern,"v.统治,治理;支配"
government,"n.政府;治理;政治"
governor,"n.州长;主管人员"
gown,"n.长袍,长外衣"
grace,"n.优美,文雅;雅致"
graceful,"adj.优美的,优雅的"
gracious,"adj.有礼貌的;仁慈的"
grade,"v.给…分等级;n.等级"
gradual,"adj.逐渐的;渐进的"
gradually,"adv.逐渐地,逐步地"
graduate,"n.毕业生;v.大学毕业"
grain,"n.谷物,谷粒;颗粒"
grammar,"n.语法;语法书"
grammatical,"adj.语法上的"
gramme,"n.克(重量单位)"
grand,"adj.宏伟的;重大的"
granddaughter,"n.孙女,外孙女"
grandfather,"n.祖父;外祖父"
grandmother,"n.祖母,外祖母"
grandson,"n.孙子,外孙子"
grant,"n.授给物;v.授予"
grape,"n.葡萄;葡萄藤"
graph,"n.(曲线)图,图表"
grasp,"v.抓紧;掌握;n.抓"
grass,"n.草;牧草;草地"
grateful,"adj.感激的;令人愉快的"
gratitude,"adj.感激,感谢,感恩"
grave,"n.坟墓;adj.严重的"
gravity,"n.重力,引力;严重性"
gray,"adj.灰色的;n.灰色"
great,"adj.大的;伟大的"
greatly,"adv.大大地,非常"
greedy,"adj.贪吃的;贪婪的"
Greek,"adj.希腊的;n.希腊人"
green,"adj.绿色的;n.绿色"
greenhouse,"n.温室,玻璃暖房"
greet,"v.问候,招呼;反应"
greeting,"n.问候,招呼,致敬"
grey,"adj.灰色的;n.灰色"
grieve,"v.使悲痛;v.悲痛"
grind,"v.磨(碎);磨快"
grip,"v.握紧,抓牢;n.紧握"
groan,"v.哼,呻吟;n.呻吟"
grocer,"n.食品商;杂货商"
grocery,"n.食品杂货店"
gross,"adj.总的;严重的"
ground,"n.地;场地;根据"
group,"n.小组,群;v.聚集"
grow,"v.生长;变得;增长"
growth,"n.增长;增长量;生长"
guarantee,"n.保证;担保物"
guard,"v.守卫;看守;n.卫兵"
guess,"vt&vi&n.猜测,推测"
guest,"n.客人,宾客;旅客"
guidance,"n.引导,指导,领导"
guide,"n.导游者;v.给…导游"
guilty,"adj.内疚的;有罪的"
gulf,"n.海湾"
gum,"n.口香糖;树胶"
gun,"n.枪,炮,手枪"
gunpowder,"n.黑色火药;有烟火药"
gymnasium,"n.体育馆,健身房"
habit,"n.习惯;习性"
habitual,"adj.习惯性的,惯常的"
hair,"n.头发,毛发;毛"
haircut,"n.理发"
half,"n.半,一半;adj.一半的"
hall,"n.门厅;过道;会堂"
halt,"v.停止;立定;n.停住"
hamburger,"n.汉堡包,牛肉饼"
hammer,"n.锤,榔头;v.锤击"
hand,"n.手;人手;指针"
handful,"n.一把;少数,一小撮"
handkerchief,"n.手帕"
handle,"n.柄,把手;v.拿,触"
handsome,"adj.英俊的;相当大的"
handwriting,"n.笔迹,手迹,书法"
handy,"adj.手边的;便于使用的"
hang,"v.挂,悬;吊死"
happen,"v.发生;碰巧,恰好"
happiness,"n.幸福,幸运;快乐"
happy,"adj.快乐的;幸福的"
harbour,"n.海港,港口;v.庇护"
hard,"adj.硬的;困难的"
harden,"v.使变硬;v.变硬"
hardly,"adv.几乎不,简直不"
hardship,"n.艰难,困苦"
hardware,"n.五金器具;硬件"
hare,"n.野兔"
harm,"n.伤害,损害;v.损害"
harmful,"adj.有害的"
harmony,"n.调合,协调,和谐"
harness,"v.治理;n.马具,挽具"
harsh,"adj.严厉的;刺耳的"
harvest,"n.收获,收成;v.收割"
haste,"n.急速,急忙;草率"
hasten,"v.催促;v.赶紧"
hasty,"adj.急速的;仓促的"
hat,"n.帽子(一般指有边的)"
hatch,"v.孵出;v.(蛋)孵化"
hate,"v.恨,憎恨;不喜欢"
hateful,"adj.可恨的,可恶的"
hatred,"n.憎恶,憎恨,仇恨"
have,"v.aux已经;v.有;吃"
hawk,"n.鹰,隼"
hay,"n.干草"
hazard,"n.危险;公害"
he,"pron.(主格)他"
head,"n.头;上端;v.率领"
headache,"n.头痛;头痛的事"
heading,"n.标题,题词,题名"
headline,"n.大字标题;新闻提要"
headmaster,"n.校长"
headquarters,"n.司令部;总部"
heal,"v.治愈;使和解"
health,"n.健康,健康状况"
healthy,"adj.健康的;有益健康的"
heap,"n.(一)堆;大量"
hear,"v.听见;审讯;听说"
heart,"n.心,内心;勇气"
heat,"n.热,炎热;v.变热"
heating,"n.加热,供暖"
heaven,"n.天堂;天,天空"
heavily,"adv.重重地;大量地"
heavy,"adj.重的;大的;充满的"
hedge,"n.篱笆,树篱;障碍物"
heel,"n.脚后跟,踵,后跟"
height,"n.高,高度;高处"
heir,"n.后嗣,继承人"
helicopter,"n.直升机"
hell,"n.地狱;极大的痛苦"
hello,"int.喂"
helmet,"n.头盔,钢盔"
help,"v.帮助;援助;n.帮手"
helpful,"adj.给予帮助的;有用的"
helpless,"adj.无助的;无能的"
hen,"n.母鸡,雌禽"
hence,"adv.因此,所以;今后"
her,"pron.(宾格)她;她的"
herd,"n.兽群,牧群;v.放牧"
here,"adv.这里;向这里"
hero,"n.男主角;英雄;勇士"
heroic,"adj.英雄的;英勇的"
heroine,"n.女主角;女英雄"
hers,"pron.她的(所有物)"
herself,"pron.她自己;她亲自"
hesitate,"v.犹豫,踌躇;含糊"
hi,"int.嗨(表示问候等)"
hide,"v.把…藏起来;隐瞒"
high,"adj.高的;高级的;adv.高"
highly,"adv.高度地,很,非常"
highway,"n.公路;大路"
hill,"n.小山,山岗;丘陵"
hillside,"n.(小山)山腰,山坡"
him,"pron.(宾格)他"
himself,"pron.他自己;他亲自"
hint,"n.暗示,示意;建议"
hire,"v.租借;n.租用,雇用"
his,"pron.他的,他的东西"
historical,"adj.历史的,有关历史的"
history,"n.历史;个人经历"
hit,"v.打;碰撞;n.击"
hobby,"n.业余爱好,癖好"
hold,"v.拿住;掌握;拥有"
hole,"n.洞;孔眼,裂开处"
holiday,"n.假日,节日;假期"
hollow,"adj.空的;空洞的"
holy,"adj.神圣的;圣洁的"
home,"n.家;家乡;adj.家庭的"
honest,"adj.诚实的;可敬的"
honesty,"n.诚实,正直"
honey,"n.蜜,蜂蜜;甜,甜蜜"
honeymoon,"n.蜜月"
honour,"n.光荣;尊敬,敬意"
honourable,"adj.诚实的;光荣的"
hook,"n.钩,挂钩;v.钩住"
hope,"n&vt&vi.希望"
hopeful,"adj.有希望的"
hopeless,"adj.没有希望的,绝望的"
horizon,"n.地平线;眼界,见识"
horizontal,"adj.地平的;水平的"
horn,"n.号角;警报器;角"
horror,"n.恐怖;战栗;憎恶"
horse,"n.马;马科动物"
horsepower,"n.马力"
hospital,"n.医院"
host,"n.主人;东道主"
hostess,"n.女主人;空姐"
hostile,"adj.敌方的;不友善的"
hot,"adj.热的;刺激的;辣的"
hotel,"n.旅馆"
hour,"n.小时;时间,时刻"
house,"n.房屋,住宅;商号"
household,"n.家庭,户;家务"
housewife,"n.家庭主妇"
how,"adv.怎么;怎样;多少"
however,"adv.然而;不管怎样"
huge,"adj.巨大的,庞大的"
human,"adj.人的,人类的;n.人"
humble,"adj.谦逊的;地位低下的"
humid,"adj.湿的,湿气重的"
humorous,"adj.富于幽默的,诙谐的"
humour,"n.幽默,诙谐,幽默感"
hundred,"num.百,百个;n.许多"
hunger,"n.饿,饥饿;渴望"
hungry,"adj.饥饿的;渴望的"
hunt,"n.打猎;搜寻;v.追猎"
hurry,"v.赶紧;v.催促"
hurt,"v.使受伤;使痛心"
husband,"n.丈夫"
hut,"n.小屋,棚屋"
hydrogen,"n.氢"
I,"pron.(主格)我"
ice,"n.冰,冰块;v.冰镇"
idea,"n.想法;思想;意见"
ideal,"adj.理想的;观念的"
identical,"adj.完全相同的;同一的"
identify,"v.认出,识别,鉴定"
idiom,"n.习语,成语"
idle,"adj.空闲的;懒散的"
if,"conj.假如,如果"
ignorant,"adj.不知道的;无知的"
ignore,"v.不顾,不理,忽视"
ill,"adj.有病的;坏的;adv.坏"
illegal,"adj.不合法的,非法的"
illness,"n.病,疾病"
illustrate,"v.(用图等)说明"
illustration,"n.说明,图解;例证"
image,"n.像;形象;映象"
imaginary,"adj.想象中的,假想的"
imagination,"n.想象;想象力;空想"
imagine,"v.想象,设想;料想"
